"STAGE","DATE","PENS","PENS_HOME_SCORE","PENS_AWAY_SCORE","TEAM_NAME_HOME","TEAM_NAME_AWAY","TEAM_HOME_SCORE","TEAM_AWAY_SCORE","POSSESSION_HOME","POSSESSION_AWAY","TOTAL_SHOTS_HOME","TOTAL_SHOTS_AWAY","SHOTS_ON_TARGET_HOME","SHOTS_ON_TARGET_AWAY","DUELS_WON_HOME","DUELS_WON_AWAY","PREDICTION_TEAM_HOME_WIN","PREDICTION_DRAW","PREDICTION_TEAM_AWAY_WIN","LOCATION"
" Final ","2021-05-29","FALSE","FALSE","FALSE"," Manchester City "," Chelsea ","0","1","0.61","0.39","7","8","1","2","0.5","0.5","0.55","0.03","0.42"," EstÃ¡dio Do DragÃ£o "
" Final ","2021-05-29","FALSE","FALSE","FALSE"," Manchester City "," Chelsea ","0","1","0.61","0.39","7","8","1","2","0.5","0.5","0.55","0.03","0.42"," EstÃ¡dio Do DragÃ£o "
" Semi-finals second leg ","2021-05-05","FALSE","FALSE","FALSE"," Chelsea "," Real Madrid ","2","0","0.32","0.68","15","7","5","5","0.52","0.49","0.43","0.03","0.54"," Stamford Bridge "
" Semi-finals second leg ","2021-05-04","FALSE","FALSE","FALSE"," Manchester City "," PSG ","2","0","0.44","0.56","12","14","5","0","0.53","0.47","0.44","0.03","0.53"," Etihad Stadium "
" Semi-finals first leg ","2021-04-28","FALSE","FALSE","FALSE"," PSG "," Manchester City ","1","2","0.4","0.6","10","11","4","6","0.47","0.53","0.65","0.04","0.31"," Parc des Princes "
" Semi-finals first leg ","2021-04-27","FALSE","FALSE","FALSE"," Real Madrid "," Chelsea ","1","1","0.51","0.49","9","11","1","5","0.49","0.52","0.61","0.04","0.35"," Alfredo Di StÃ©fano "
" Quarter-finals second leg ","2021-04-14","FALSE","FALSE","FALSE"," Liverpool "," Real Madrid ","0","0","0.57","0.43","15","6","4","2","0.5","0.5","0.34","0.03","0.63"," Anfield "
" Quarter-finals second leg ","2021-04-14","FALSE","FALSE","FALSE"," Borussia Dortmund "," Manchester City ","1","2","0.38","0.62","10","17","3","5","0.42","0.58","0.53","0.03","0.44"," SIGNAL IDUNA PARK "
" Quarter-finals second leg ","2021-04-13","FALSE","FALSE","FALSE"," PSG "," Bayern Munich ","0","1","0.44","0.56","10","14","3","5","0.54","0.46","0.55","0.03","0.42"," Parc des Princes "
" Quarter-finals second leg ","2021-04-13","FALSE","FALSE","FALSE"," Chelsea "," FC Porto ","0","1","0.46","0.54","8","8","1","2","0.52","0.48","0.78","0.02","0.2"," RamÃ³n SÃ¡nchez-PizjuÃ¡n "
" Quarter-finals first leg ","2021-04-07","FALSE","FALSE","FALSE"," FC Porto "," Chelsea ","0","2","0.39","0.61","12","6","5","3","0.62","0.38","0.26","0.03","0.71"," RamÃ³n SÃ¡nchez-PizjuÃ¡n "
" Quarter-finals first leg ","2021-04-07","FALSE","FALSE","FALSE"," Bayern Munich "," PSG ","2","3","0.64","0.36","31","6","12","5","0.56","0.44","0.43","0.04","0.53"," Allianz Arena "
" Quarter-finals first leg ","2021-04-06","FALSE","FALSE","FALSE"," Real Madrid "," Liverpool ","3","1","0.45","0.55","16","7","7","1","0.62","0.38","0.56","0.04","0.4"," Alfredo Di StÃ©fano "
" Quarter-finals first leg ","2021-04-06","FALSE","FALSE","FALSE"," Manchester City "," Borussia Dortmund ","2","1","0.62","0.38","11","7","5","3","0.54","0.46","0.6","0.03","0.37"," Etihad Stadium "
" Round of 16 second leg ","2021-03-17","FALSE","FALSE","FALSE"," Chelsea "," AtlÃ©tico Madrid ","2","0","0.57","0.43","16","10","5","4","0.52","0.48","0.54","0.05","0.41"," Stamford Bridge "
" Round of 16 second leg ","2021-03-17","FALSE","FALSE","FALSE"," Bayern Munich "," Lazio ","2","1","0.59","0.41","12","5","4","2","0.53","0.47","0.84","0.02","0.14"," Allianz Arena "
" Round of 16 second leg ","2021-03-16","FALSE","FALSE","FALSE"," Manchester City "," B. Mâ€˜Gladbach ","2","0","0.68","0.32","10","6","6","3","0.55","0.45","0.82","0.02","0.16"," PuskÃ¡s ArÃ©na "
" Round of 16 second leg ","2021-03-16","FALSE","FALSE","FALSE"," Real Madrid "," Atalanta ","3","1","0.53","0.47","12","13","6","5","0.54","0.46","0.65","0.03","0.32"," Alfredo Di StÃ©fano "
" Round of 16 second leg ","2021-03-10","FALSE","FALSE","FALSE"," PSG "," Barcelona ","1","1","0.27","0.73","7","21","3","10","0.55","0.45","0.49","0.03","0.48"," Parc des Princes "
" Round of 16 second leg ","2021-03-10","FALSE","FALSE","FALSE"," Liverpool "," RB Leipzig ","2","0","0.4","0.6","12","11","7","2","0.4","0.6","0.65","0.03","0.32"," PuskÃ¡s ArÃ©na "
" Round of 16 second leg ","2021-03-09","FALSE","FALSE","FALSE"," Juventus "," FC Porto ","3","2","0.69","0.31","31","14","13","7","0.53","0.47","0.7","0.03","0.27"," Allianz Stadium "
" Round of 16 second leg ","2021-03-09","FALSE","FALSE","FALSE"," Borussia Dortmund "," Sevilla ","2","2","0.31","0.69","9","19","5","8","0.56","0.44","0.8","0.03","0.17"," SIGNAL IDUNA PARK "
" Round of 16 first leg ","2021-02-24","FALSE","FALSE","FALSE"," Atalanta "," Real Madrid ","0","1","0.31","0.69","2","19","0","4","0.52","0.48","0.37","0.04","0.59"," Gewiss Stadium "
" Round of 16 first leg ","2021-02-24","FALSE","FALSE","FALSE"," B. Mâ€˜Gladbach "," Manchester City ","0","2","0.39","0.61","3","9","1","4","0.54","0.46","0.2","0.03","0.77"," PuskÃ¡s ArÃ©na "
" Round of 16 first leg ","2021-02-23","FALSE","FALSE","FALSE"," AtlÃ©tico Madrid "," Chelsea ","0","1","0.36","0.64","6","11","0","5","0.58","0.42","0.55","0.06","0.39"," National Arena "
" Round of 16 first leg ","2021-02-23","FALSE","FALSE","FALSE"," Lazio "," Bayern Munich ","1","4","0.43","0.57","14","13","5","7","0.51","0.49","0.17","0.03","0.8"," Olimpico "
" Round of 16 first leg ","2021-02-17","FALSE","FALSE","FALSE"," FC Porto "," Juventus ","2","1","0.34","0.66","8","12","5","5","0.51","0.49","0.19","0.03","0.78"," EstÃ¡dio Do DragÃ£o "
" Round of 16 first leg ","2021-02-17","FALSE","FALSE","FALSE"," Sevilla "," Borussia Dortmund ","2","3","0.66","0.34","12","10","4","5","0.56","0.44","0.33","0.04","0.63"," RamÃ³n SÃ¡nchez-PizjuÃ¡n "
" Round of 16 first leg ","2021-02-16","FALSE","FALSE","FALSE"," Barcelona "," PSG ","1","4","0.53","0.47","12","16","4","9","0.38","0.62","0.53","0.05","0.42"," Camp Nou "
" Round of 16 first leg ","2021-02-16","FALSE","FALSE","FALSE"," RB Leipzig "," Liverpool ","0","2","0.47","0.53","12","10","2","3","0.42","0.58","0.37","0.05","0.58"," PuskÃ¡s ArÃ©na "
" Group stage: Matchday 6 ","2020-12-09","FALSE","FALSE","FALSE"," Real Madrid "," B. Mâ€˜Gladbach ","2","0","0.64","0.36","19","7","7","1","0.55","0.45","0.67","0.04","0.29"," Alfredo Di StÃ©fano "
" Group stage: Matchday 6 ","2020-12-09","FALSE","FALSE","FALSE"," Bayern Munich "," Lokomotiv Moscow ","2","0","0.7","0.3","22","7","7","3","0.53","0.47","0.91","0.02","0.07"," Allianz Arena "
" Group stage: Matchday 6 ","2020-12-09","FALSE","FALSE","FALSE"," Salzburg "," AtlÃ©tico Madrid ","0","2","0.58","0.42","18","7","2","4","0.42","0.58","0.21","0.04","0.75"," Red Bull Arena Salzburg "
" Group stage: Matchday 6 ","2020-12-09","FALSE","FALSE","FALSE"," Inter "," Shakhtar Donetsk ","0","0","0.57","0.43","20","7","4","3","0.52","0.49","0.75","0.05","0.2"," Giuseppe Meazza "
" Group stage: Matchday 6 ","2020-12-09","FALSE","FALSE","FALSE"," Olympiacos "," FC Porto ","0","2","0.57","0.43","7","8","1","3","0.5","0.5","0.15","0.05","0.8"," Georgios Karaiskakis Stadium "
" Group stage: Matchday 6 ","2020-12-09","FALSE","FALSE","FALSE"," Manchester City "," Marseille ","3","0","0.53","0.47","15","8","8","2","0.56","0.44","0.77","0.03","0.2"," Etihad Stadium "
" Group stage: Matchday 6 ","2020-12-09","FALSE","FALSE","FALSE"," PSG "," Ä°stanbul BaÅŸakÅŸehir ","5","1","0.69","0.31","20","10","9","4","0.66","0.34","0.85","0.03","0.12"," Parc des Princes "
" Group stage: Matchday 6 ","2020-12-09","FALSE","FALSE","FALSE"," Ajax "," Atalanta ","0","1","0.64","0.36","12","8","2","2","0.44","0.56","0.52","0.07","0.41"," Johan Cruijff Arena "
" Group stage: Matchday 6 ","2020-12-09","FALSE","FALSE","FALSE"," Midtjylland "," Liverpool ","1","1","0.49","0.51","20","7","7","4","0.55","0.45","0.07","0.02","0.91"," MCH Arena "
" Group stage: Matchday 6 ","2020-12-08","FALSE","FALSE","FALSE"," Barcelona "," Juventus ","0","3","0.6","0.4","19","9","7","4","0.51","0.5","0.49","0.05","0.46"," Camp Nou "
" Group stage: Matchday 6 ","2020-12-08","FALSE","FALSE","FALSE"," Chelsea "," Krasnodar ","1","1","0.64","0.36","18","7","5","2","0.54","0.46","0.92","0.02","0.06"," Stamford Bridge "
" Group stage: Matchday 6 ","2020-12-08","FALSE","FALSE","FALSE"," Dynamo Kyiv "," FerencvÃ¡ros ","1","0","0.41","0.59","4","8","2","2","0.51","0.49","0.73","0.1","0.17"," Kiev Olympic Stadium "
" Group stage: Matchday 6 ","2020-12-08","FALSE","FALSE","FALSE"," RB Leipzig "," Manchester United ","3","2","0.44","0.56","9","19","4","7","0.4","0.6","0.33","0.05","0.62"," Red Bull Arena "
" Group stage: Matchday 6 ","2020-12-08","FALSE","FALSE","FALSE"," Rennes "," Sevilla ","1","3","0.49","0.51","19","8","6","5","0.45","0.55","0.16","0.05","0.79"," Roazhon Park "
" Group stage: Matchday 6 ","2020-12-08","FALSE","FALSE","FALSE"," Zenit "," Borussia Dortmund ","1","2","0.44","0.56","17","14","4","5","0.53","0.47","0.1","0.03","0.87"," Saint Petersburg Stadium "
" Group stage: Matchday 6 ","2020-12-08","FALSE","FALSE","FALSE"," Lazio "," Club Brugge ","2","2","0.52","0.48","15","8","8","3","0.51","0.5","0.81","0.05","0.14"," Olimpico "
" Group stage: Matchday 5 ","2020-12-02","FALSE","FALSE","FALSE"," Borussia Dortmund "," Lazio ","1","1","0.57","0.43","13","12","4","6","0.49","0.51","0.78","0.04","0.18"," SIGNAL IDUNA PARK "
" Group stage: Matchday 5 ","2020-12-02","FALSE","FALSE","FALSE"," Club Brugge "," Zenit ","3","0","0.51","0.49","11","4","5","0","0.56","0.44","0.48","0.09","0.43"," Jan Breydelstadion "
" Group stage: Matchday 5 ","2020-12-02","FALSE","FALSE","FALSE"," FerencvÃ¡ros "," Barcelona ","0","3","0.37","0.63","10","19","2","5","0.47","0.53","0.06","0.01","0.93"," PuskÃ¡s ArÃ©na "
" Group stage: Matchday 5 ","2020-12-02","FALSE","FALSE","FALSE"," Juventus "," Dynamo Kyiv ","3","0","0.53","0.47","17","7","7","3","0.68","0.32","0.91","0.02","0.07"," Allianz Stadium "
" Group stage: Matchday 5 ","2020-12-02","FALSE","FALSE","FALSE"," Manchester United "," PSG ","1","3","0.44","0.56","12","13","5","6","0.49","0.51","0.46","0.05","0.49"," Old Trafford "
" Group stage: Matchday 5 ","2020-12-02","FALSE","FALSE","FALSE"," Sevilla "," Chelsea ","0","4","0.56","0.44","17","14","3","7","0.49","0.52","0.18","0.05","0.77"," RamÃ³n SÃ¡nchez-PizjuÃ¡n "
" Group stage: Matchday 5 ","2020-12-02","FALSE","FALSE","FALSE"," Krasnodar "," Rennes ","1","0","0.43","0.57","14","12","3","5","0.55","0.45","0.21","0.09","0.7"," Krasnodar Stadium "
" Group stage: Matchday 5 ","2020-12-02","FALSE","FALSE","FALSE"," Ä°stanbul BaÅŸakÅŸehir "," RB Leipzig ","3","4","0.45","0.55","9","20","4","7","0.42","0.58","0.14","0.03","0.83"," 3.Istanbul Basaksehir Fatih Terim "
" Group stage: Matchday 5 ","2020-12-01","FALSE","FALSE","FALSE"," AtlÃ©tico Madrid "," Bayern Munich ","1","1","0.45","0.55","13","6","3","2","0.52","0.49","0.3","0.05","0.65"," Wanda Metropolitano "
" Group stage: Matchday 5 ","2020-12-01","FALSE","FALSE","FALSE"," B. Mâ€˜Gladbach "," Inter ","2","3","0.55","0.45","10","15","5","4","0.49","0.51","0.37","0.05","0.58"," BORUSSIA-PARK "
" Group stage: Matchday 5 ","2020-12-01","FALSE","FALSE","FALSE"," FC Porto "," Manchester City ","0","0","0.32","0.68","2","18","1","6","0.41","0.59","0.2","0.03","0.77"," EstÃ¡dio Do DragÃ£o "
" Group stage: Matchday 5 ","2020-12-01","FALSE","FALSE","FALSE"," Liverpool "," Ajax ","1","0","0.43","0.57","15","11","5","4","0.51","0.5","0.7","0.05","0.25"," Anfield "
" Group stage: Matchday 5 ","2020-12-01","FALSE","FALSE","FALSE"," Atalanta "," Midtjylland ","1","1","0.68","0.32","19","11","8","4","0.58","0.42","0.85","0.03","0.12"," Gewiss Stadium "
" Group stage: Matchday 5 ","2020-12-01","FALSE","FALSE","FALSE"," Marseille "," Olympiacos ","2","1","0.54","0.46","12","7","5","2","0.51","0.49","0.6","0.06","0.34"," Stade VÃ©lodrome "
" Group stage: Matchday 5 ","2020-12-01","FALSE","FALSE","FALSE"," Lokomotiv Moscow "," Salzburg ","1","3","0.51","0.49","6","19","4","6","0.59","0.41","0.29","0.07","0.64"," RZD Arena "
" Group stage: Matchday 5 ","2020-12-01","FALSE","FALSE","FALSE"," Shakhtar Donetsk "," Real Madrid ","2","0","0.41","0.59","7","15","4","8","0.53","0.47","0.18","0.03","0.79"," Kiev Olympic Stadium "
" Group stage: Matchday 4 ","2020-11-25","FALSE","FALSE","FALSE"," Inter "," Real Madrid ","0","2","0.37","0.63","5","14","1","5","0.46","0.54","0.34","0.05","0.61"," Giuseppe Meazza "
" Group stage: Matchday 4 ","2020-11-25","FALSE","FALSE","FALSE"," Bayern Munich "," Salzburg ","3","1","0.6","0.4","11","19","5","11","0.49","0.51","0.9","0.02","0.08"," Allianz Arena "
" Group stage: Matchday 4 ","2020-11-25","FALSE","FALSE","FALSE"," AtlÃ©tico Madrid "," Lokomotiv Moscow ","0","0","0.65","0.35","20","4","6","1","0.42","0.58","0.89","0.03","0.08"," Wanda Metropolitano "
" Group stage: Matchday 4 ","2020-11-25","FALSE","FALSE","FALSE"," Marseille "," FC Porto ","0","2","0.57","0.43","11","9","2","4","0.51","0.49","0.35","0.05","0.6"," Stade VÃ©lodrome "
" Group stage: Matchday 4 ","2020-11-25","FALSE","FALSE","FALSE"," Liverpool "," Atalanta ","0","2","0.54","0.46","4","8","0","4","0.46","0.54","0.81","0.03","0.16"," Anfield "
" Group stage: Matchday 4 ","2020-11-25","FALSE","FALSE","FALSE"," Ajax "," Midtjylland ","3","1","0.59","0.41","17","9","8","5","0.52","0.48","0.91","0.02","0.07"," Johan Cruijff Arena "
" Group stage: Matchday 4 ","2020-11-25","FALSE","FALSE","FALSE"," B. Mâ€˜Gladbach "," Shakhtar Donetsk ","4","0","0.46","0.54","14","13","6","3","0.56","0.44","0.78","0.06","0.16"," BORUSSIA-PARK "
" Group stage: Matchday 4 ","2020-11-25","FALSE","FALSE","FALSE"," Olympiacos "," Manchester City ","0","1","0.4","0.6","2","22","0","11","0.49","0.51","0.08","0.02","0.9"," Georgios Karaiskakis Stadium "
" Group stage: Matchday 4 ","2020-11-24","FALSE","FALSE","FALSE"," Borussia Dortmund "," Club Brugge ","3","0","0.53","0.47","21","2","8","0","0.52","0.48","0.94","0.01","0.05"," SIGNAL IDUNA PARK "
" Group stage: Matchday 4 ","2020-11-24","FALSE","FALSE","FALSE"," Dynamo Kyiv "," Barcelona ","0","4","0.3","0.7","7","16","3","7","0.54","0.46","0.11","0.03","0.86"," Kiev Olympic Stadium "
" Group stage: Matchday 4 ","2020-11-24","FALSE","FALSE","FALSE"," Juventus "," FerencvÃ¡ros ","2","1","0.67","0.33","19","9","7","2","0.57","0.43","0.89","0.02","0.09"," Allianz Stadium "
" Group stage: Matchday 4 ","2020-11-24","FALSE","FALSE","FALSE"," Lazio "," Zenit ","3","1","0.48","0.52","12","13","7","5","0.53","0.47","0.82","0.05","0.13"," Olimpico "
" Group stage: Matchday 4 ","2020-11-24","FALSE","FALSE","FALSE"," Manchester United "," Ä°stanbul BaÅŸakÅŸehir ","4","1","0.52","0.48","16","13","8","4","0.53","0.47","0.89","0.02","0.09"," Old Trafford "
" Group stage: Matchday 4 ","2020-11-24","FALSE","FALSE","FALSE"," PSG "," RB Leipzig ","1","0","0.38","0.62","8","15","3","3","0.49","0.51","0.74","0.04","0.22"," Parc des Princes "
" Group stage: Matchday 4 ","2020-11-24","FALSE","FALSE","FALSE"," Krasnodar "," Sevilla ","1","2","0.4","0.6","11","23","4","8","0.53","0.47","0.1","0.03","0.87"," Krasnodar Stadium "
" Group stage: Matchday 4 ","2020-11-24","FALSE","FALSE","FALSE"," Rennes "," Chelsea ","1","2","0.51","0.49","13","9","5","5","0.44","0.56","0.09","0.02","0.89"," Roazhon Park "
" Group stage: Matchday 3 ","2020-11-04","FALSE","FALSE","FALSE"," Sevilla "," Krasnodar ","3","2","0.63","0.37","22","11","11","4","0.54","0.46","0.81","0.04","0.15"," RamÃ³n SÃ¡nchez-PizjuÃ¡n "
" Group stage: Matchday 3 ","2020-11-04","FALSE","FALSE","FALSE"," Chelsea "," Rennes ","3","0","0.58","0.42","8","7","4","2","0.52","0.48","0.87","0.02","0.11"," Stamford Bridge "
" Group stage: Matchday 3 ","2020-11-04","FALSE","FALSE","FALSE"," Club Brugge "," Borussia Dortmund ","0","3","0.46","0.54","11","11","4","6","0.45","0.55","0.07","0.02","0.91"," Jan Breydelstadion "
" Group stage: Matchday 3 ","2020-11-04","FALSE","FALSE","FALSE"," Barcelona "," Dynamo Kyiv ","2","1","0.64","0.36","22","8","14","7","0.4","0.6","0.91","0.02","0.07"," Camp Nou "
" Group stage: Matchday 3 ","2020-11-04","FALSE","FALSE","FALSE"," RB Leipzig "," PSG ","2","1","0.49","0.51","12","8","5","2","0.58","0.42","0.19","0.05","0.76"," Red Bull Arena "
" Group stage: Matchday 3 ","2020-11-04","FALSE","FALSE","FALSE"," FerencvÃ¡ros "," Juventus ","1","4","0.46","0.54","12","16","3","9","0.52","0.49","0.07","0.02","0.91"," PuskÃ¡s ArÃ©na "
" Group stage: Matchday 3 ","2020-11-04","FALSE","FALSE","FALSE"," Ä°stanbul BaÅŸakÅŸehir "," Manchester United ","2","1","0.31","0.69","9","10","3","2","0.54","0.46","0.12","0.02","0.86"," 3.Istanbul Basaksehir Fatih Terim "
" Group stage: Matchday 3 ","2020-11-04","FALSE","FALSE","FALSE"," Zenit "," Lazio ","1","1","0.46","0.54","7","15","2","3","0.4","0.6","0.19","0.07","0.74"," Saint Petersburg Stadium "
" Group stage: Matchday 3 ","2020-11-03","FALSE","FALSE","FALSE"," Midtjylland "," Ajax ","1","2","0.44","0.56","9","5","4","4","0.55","0.45","0.07","0.03","0.9"," MCH Arena "
" Group stage: Matchday 3 ","2020-11-03","FALSE","FALSE","FALSE"," FC Porto "," Marseille ","3","0","0.39","0.61","6","7","4","0","0.54","0.46","0.61","0.06","0.33"," EstÃ¡dio Do DragÃ£o "
" Group stage: Matchday 3 ","2020-11-03","FALSE","FALSE","FALSE"," Salzburg "," Bayern Munich ","2","6","0.4","0.6","18","21","10","10","0.48","0.52","0.12","0.02","0.86"," Red Bull Arena Salzburg "
" Group stage: Matchday 3 ","2020-11-03","FALSE","FALSE","FALSE"," Manchester City "," Olympiacos ","3","0","0.59","0.41","20","6","7","1","0.56","0.44","0.9","0.02","0.08"," Etihad Stadium "
" Group stage: Matchday 3 ","2020-11-03","FALSE","FALSE","FALSE"," Real Madrid "," Inter ","3","2","0.56","0.44","12","12","7","3","0.6","0.41","0.62","0.05","0.33"," Alfredo Di StÃ©fano "
" Group stage: Matchday 3 ","2020-11-03","FALSE","FALSE","FALSE"," Atalanta "," Liverpool ","0","5","0.43","0.57","9","15","6","12","0.6","0.4","0.24","0.06","0.7"," Gewiss Stadium "
" Group stage: Matchday 3 ","2020-11-03","FALSE","FALSE","FALSE"," Lokomotiv Moscow "," AtlÃ©tico Madrid ","1","1","0.34","0.66","4","14","1","6","0.44","0.56","0.1","0.03","0.87"," RZD Arena "
" Group stage: Matchday 3 ","2020-11-03","FALSE","FALSE","FALSE"," Shakhtar Donetsk "," B. Mâ€˜Gladbach ","0","6","0.55","0.45","4","20","1","10","0.52","0.49","0.28","0.08","0.64"," Kiev Olympic Stadium "
" Group stage: Matchday 2 ","2020-10-28","FALSE","FALSE","FALSE"," Sevilla "," Rennes ","1","0","0.66","0.34","23","2","10","2","0.61","0.39","0.71","0.06","0.23"," RamÃ³n SÃ¡nchez-PizjuÃ¡n "
" Group stage: Matchday 2 ","2020-10-28","FALSE","FALSE","FALSE"," Club Brugge "," Lazio ","1","1","0.6","0.4","11","8","3","3","0.42","0.58","0.15","0.05","0.8"," Jan Breydelstadion "
" Group stage: Matchday 2 ","2020-10-28","FALSE","FALSE","FALSE"," FerencvÃ¡ros "," Dynamo Kyiv ","2","2","0.5","0.5","15","7","4","3","0.47","0.53","0.17","0.1","0.73"," Groupama ArÃ©na "
" Group stage: Matchday 2 ","2020-10-28","FALSE","FALSE","FALSE"," Borussia Dortmund "," Zenit ","2","0","0.7","0.3","11","4","5","0","0.46","0.54","0.88","0.03","0.09"," SIGNAL IDUNA PARK "
" Group stage: Matchday 2 ","2020-10-28","FALSE","FALSE","FALSE"," Manchester United "," RB Leipzig ","5","0","0.47","0.53","15","9","8","2","0.48","0.52","0.71","0.05","0.24"," Old Trafford "
" Group stage: Matchday 2 ","2020-10-28","FALSE","FALSE","FALSE"," Juventus "," Barcelona ","0","2","0.41","0.59","10","13","0","4","0.46","0.54","0.39","0.06","0.55"," Allianz Stadium "